misalignment_index,cam_roll_deg,cam_pitch_deg,cam_yaw_deg,yaw_index,car_roll_deg,car_pitch_deg,car_yaw_deg,weighted_rmse
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,62,0.0,-0.0,130.0,0.00085786360634428
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,63,0.0,-0.0,135.0,0.0008550997223281754
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,64,0.0,-0.0,140.0,0.0008529976871163264
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,65,0.0,-0.0,145.0,0.0008516958848868444
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,66,0.0,-0.0,149.99999999999997,0.0008513048562814624
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,67,0.0,-0.0,154.99999999999997,0.0008518932094965184
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,68,0.0,-0.0,159.99999999999997,0.0008534756110680951
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,69,0.0,-0.0,165.00000000000003,0.0008560058355762599
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,70,0.0,-0.0,170.0,0.0008593756981542534
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,71,0.0,-0.0,175.0,0.0008634230731118831
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,0,0.0,-0.0,-180.0,0.0007756356074287095
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,1,0.0,-0.0,-175.0,0.0007777520251149952
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,2,0.0,-0.0,-170.0,0.0007805648906449655
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,3,0.0,-0.0,-165.0,0.000783954772573534
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,4,0.0,-0.0,-160.0,0.0007877854298625107
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,5,0.0,-0.0,-155.0,0.0007919108221827046
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,6,0.0,-0.0,-150.0,0.0007961826697858611
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,7,0.0,-0.0,-145.0,0.0008004582832417646
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,8,0.0,-0.0,-140.0,0.0008046076997368326
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,9,0.0,-0.0,-135.0,0.0008085059576125761
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,10,0.0,-0.0,-130.0,0.0008120388146420141
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,11,0.0,-0.0,-125.00000000000001,0.0008151083133309571
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,12,0.0,-0.0,-120.00000000000001,0.0008176376240365113
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,13,0.0,-0.0,-115.0,0.0008195730378333222
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,14,0.0,-0.0,-109.99999999999999,0.0008208861459771974
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,15,0.0,-0.0,-105.00000000000001,0.0008215713521050276
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,16,0.0,-0.0,-100.0,0.0008216408536721183
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,17,0.0,-0.0,-95.0,0.0008211192539446111
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,18,0.0,-0.0,-89.99999999999999,0.0008200373934719037
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,19,0.0,-0.0,-85.0,0.0008184281373503946
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,20,0.0,-0.0,-80.0,0.0008163244582493995
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,21,0.0,-0.0,-75.0,0.0008137606556520243
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,22,0.0,-0.0,-70.0,0.0008107750741487108
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,23,0.0,-0.0,-65.0,0.0008074144559756234
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,24,0.0,-0.0,-60.00000000000001,0.0008037377854063068
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,25,0.0,-0.0,-55.00000000000002,0.0007998199447558328
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,26,0.0,-0.0,-49.99999999999999,0.0007957553614635685
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,27,0.0,-0.0,-45.00000000000001,0.0007916582632011473
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,28,0.0,-0.0,-40.000000000000014,0.0007876621541851665
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,29,0.0,-0.0,-35.000000000000014,0.0007839156512931822
1,-0.24999999999999994,-0.5,-1.9413304393625098e-19,30,0.0,-0.0,-29.999999999999993,0.0007805758923581036
