frame_index,elapsed_ms,utc_time,car_lat,car_lon,car_pitch_deg,car_roll_deg,car_yaw_deg,accumulator_dump,solar_azimuth_deg,solar_zenith_deg,estimated_solar_azimuth_insenu_deg,estimated_solar_azimuth_camxyz_deg,estimated_solar_azimuth_carxyz_deg
1000,2462,2025-11-24T15:40:55+00:00,44.23072652322169,-76.46930158158501,-1.75979037340489,0.9325384803072116,-166.6203591881837,results/accumulator_1000.csv,161.7529551079258,66.95779969998944,157.69537715111775,171.10000000000002,98.89999999999998
1050,2425,2025-11-24T15:41:05+00:00,44.23026679946386,-76.46967140351919,0.6528295279281142,0.735031388382003,148.42030226257148,results/accumulator_1050.csv,161.79365675753502,66.94813168757133,161.28262589866787,129.7,140.3
1100,2400,2025-11-24T15:41:15+00:00,44.2296660032523,-76.47018538653212,0.9912527100695192,0.8083923778645745,149.0215352218437,results/accumulator_1100.csv,161.83420566845246,66.93838163242515,162.08593249709108,131.10000000000002,138.89999999999998
1150,2435,2025-11-24T15:41:25+00:00,44.22905074335288,-76.47058670077253,1.1773073626224395,0.7097412735864433,165.27844896446135,results/accumulator_1150.csv,161.87487226759484,66.92861231818985,163.0355522327726,148.3,121.69999999999999
1200,2441,2025-11-24T15:41:35+00:00,44.22844641823496,-76.47085278246814,-0.35490400237977504,0.7896034748984354,142.872654404235,results/accumulator_1200.csv,161.9156822686848,66.9188430325451,159.72395532277312,122.60000000000001,147.39999999999998
1250,2487,2025-11-24T15:41:45+00:00,44.22781691870198,-76.47081645891357,1.078860128685759,0.543784419486508,-161.83399032079396,results/accumulator_1250.csv,161.9567961352609,66.90900254999471,-15.35616490259695,2.8,-92.80000000000003
1300,2500,2025-11-24T15:41:55+00:00,44.226941521971625,-76.47041088010174,0.9044129560156873,1.423391649322213,-160.3606941946395,results/accumulator_1300.csv,161.99825101728794,66.89886657870545,-16.21628920654927,3.4,-93.4
1350,2489,2025-11-24T15:42:05+00:00,44.2266550821601,-76.46956141399804,0.5038069501024136,0.030003782584052063,-74.12008099099425,results/accumulator_1350.csv,162.04023093923573,66.8892132026184,-17.679988045089743,88.2,-178.20000000000007
1400,2587,2025-11-24T15:42:15+00:00,44.22712838227742,-76.46833177337362,0.3028002203952404,0.8706317397675002,-55.61484948890322,results/accumulator_1400.csv,162.08269518480068,66.88022004368979,-15.386452791843375,109.0,161.0
1450,2492,2025-11-24T15:42:25+00:00,44.22768352689729,-76.4678665072754,1.2804838207913916,-0.927343041408977,-8.540479866746889,results/accumulator_1450.csv,162.1244227578607,66.87149476741202,-22.67166690744318,148.8,121.19999999999999
1500,2597,2025-11-24T15:42:35+00:00,44.22835376658259,-76.46758520300027,0.8633345661703508,0.03014819286433475,-18.95314177047846,results/accumulator_1500.csv,162.16599153045428,66.86294056783926,-20.643397741529352,140.4,129.6
1550,2645,2025-11-24T15:42:45+00:00,44.22871350283484,-76.46726208137349,0.15282768925132575,0.08730476255643727,-120.1799989770007,results/accumulator_1550.csv,162.2075690423521,66.85410256950536,-16.41994663373931,43.400000000000006,-133.40000000000003
1600,2605,2025-11-24T15:42:55+00:00,44.228712215312505,-76.46674662457059,-1.4934916308489592,1.108303865218876,-22.152861500812545,results/accumulator_1600.csv,162.24929786310634,66.84489963707435,-14.161727111756619,143.70000000000002,126.30000000000001
1650,2814,2025-11-24T15:43:05+00:00,44.22929473850803,-76.46636792348701,-0.31573985233974283,-0.21619151767056205,-48.35841969056338,results/accumulator_1650.csv,162.2909756570745,66.83630363478409,-17.74121358975896,113.9,156.10000000000002
1700,2789,2025-11-24T15:43:15+00:00,44.22969197266275,-76.46628240409856,2.710819995249979,2.2577679212363595,0.17773755112192113,results/accumulator_1700.csv,162.33234715500353,66.82761593555476,-22.27920907412428,157.8,112.19999999999999
1750,2863,2025-11-24T15:43:25+00:00,44.23017927229536,-76.46603582378437,0.8745347332194069,2.1627684203005533,-16.241209136449168,results/accumulator_1750.csv,162.37389771287624,66.81899986109214,-16.951320073942114,146.8,123.19999999999999
1800,2900,2025-11-24T15:43:35+00:00,44.23093075899484,-76.4660093661485,0.5111568806457958,1.4576040110067152,1.1646107845779592,results/accumulator_1800.csv,162.41527243565392,66.81070422517308,-18.857517282035282,162.3,107.69999999999999
1850,2862,2025-11-24T15:43:46+00:00,44.23164915760589,-76.46625458581941,0.5424522113063934,1.2473691063396979,49.73027894697073,results/accumulator_1850.csv,162.4605078602515,66.80155913151555,158.18349840343552,27.900000000000002,-117.90000000000002
1900,3057,2025-11-24T15:43:58+00:00,44.23201285809164,-76.4675231782776,2.5193307790632073,1.257803446157665,69.84317507650216,results/accumulator_1900.csv,162.50882031782976,66.79142603541099,156.96198622973552,46.800000000000004,-136.8
1950,2814,2025-11-24T15:44:10+00:00,44.2323717429103,-76.46813373801031,-0.0037935976634078093,1.9383719435566256,-15.340491466315823,results/accumulator_1950.csv,162.55779493318153,66.78117525311205,-15.774109330211433,148.9,121.1
2000,2581,2025-11-24T15:44:22+00:00,44.233116739696975,-76.46748471363922,-0.17140679055426702,2.4951899453407425,-41.117211249984486,results/accumulator_2000.csv,162.60807847354124,66.77105217338656,-12.61120828328437,126.30000000000001,143.7
2050,2687,2025-11-24T15:44:34+00:00,44.23406379200666,-76.46673641158408,-0.053833617776350075,2.5104429155647527,-24.232518081570888,results/accumulator_2050.csv,162.6584976554877,66.76113149269156,-13.695608706584547,142.10000000000002,127.89999999999998
2100,2710,2025-11-24T15:44:45+00:00,44.23452240850336,-76.46699543605122,2.2603200491766047,1.5515444737577468,63.6993533490547,results/accumulator_2100.csv,162.7037358746332,66.75187503036341,156.8243839652605,40.5,-130.50000000000003
2150,2571,2025-11-24T15:44:55+00:00,44.23471456254772,-76.46790310981234,1.3571240571977374,1.4306172126635526,78.3146373751726,results/accumulator_2150.csv,162.74417429883556,66.74340979490843,158.1965064405778,56.5,-146.50000000000003
2200,2530,2025-11-24T15:45:05+00:00,44.23518384616652,-76.46803311312563,0.3242602047217449,1.8542839606435002,4.905606540339239,results/accumulator_2200.csv,162.78542685121494,66.73506412411953,-17.902018355097997,167.00000000000003,102.99999999999999
2250,2658,2025-11-24T15:45:17+00:00,44.23519273446616,-76.46864603825308,1.125501613786245,-0.3484256684305281,109.81057812347187,results/accumulator_2250.csv,162.83441631684423,66.72464360877392,163.89003712860978,93.7,176.30000000000004
2300,2781,2025-11-24T15:45:27+00:00,44.23507583523218,-76.46896163125524,0.9005117706838766,0.01892716773133343,119.67580710044227,results/accumulator_2300.csv,162.87542727228714,66.71582195712826,163.32575851436866,103.0,167.00000000000003
2350,2708,2025-11-24T15:45:38+00:00,44.235075868773315,-76.4689615194162,0.9052664356772053,0.013053207961547575,119.71142336625091,results/accumulator_2350.csv,162.92090928956637,66.70619137782086,163.39016578202344,103.1,166.90000000000006
2400,2659,2025-11-24T15:45:48+00:00,44.23507610842753,-76.46896118950235,0.9048467723115137,0.021848915092343376,119.7370368497954,results/accumulator_2400.csv,162.96226509762786,66.69745808179971,163.3645573755834,103.1,166.90000000000006
2450,2652,2025-11-24T15:45:58+00:00,44.2350762875307,-76.46896095870858,0.9048206589881048,0.016860996265606894,119.77268550649434,results/accumulator_2450.csv,163.00362865702786,66.6887453520821,163.4289163338084,103.2,166.8
